Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
32Mb/validate,2.9876185976911416e-2,2.9703260033090248e-2,3.0207074650455894e-2,8.951379952971375e-4,5.158987356717694e-4,1.4961876741462449e-3
32Mb/validateEx,5.350888363084141e-2,5.325463272116018e-2,5.4022700088938974e-2,1.1885405242787013e-3,6.424304708660408e-4,1.845689193337621e-3
32Mb/parser-1,0.9729887921628837,0.9698893729094458,0.9776697425964812,6.046054440471698e-3,3.574303553717014e-3,9.266899491782882e-3
32Mb/parser-3,1.1249096795733158,1.1196841570194076,1.1397633264929972,1.3133811789223512e-2,3.652489576242436e-3,2.1798649256588237e-2
32Mb/parser-3-A,0.41479612609113387,0.41299914916763286,0.4196802007255319,5.651168982984208e-3,2.8103836024757573e-3,9.95555639961739e-3
32Mb/parser-4,0.7799788750179281,0.7765624334790906,0.7848234482410035,7.34063260981497e-3,4.656940724541343e-3,1.1582773647522502e-2
64Mb/validate,6.33325768283832e-2,6.21362634490961e-2,6.493058168235158e-2,4.473942196084746e-3,3.982141248817339e-3,4.85792180718728e-3
64Mb/validateEx,0.10678793765653166,0.10627654534901035,0.10764626214308995,1.9852218413664432e-3,1.2939509055031738e-3,3.260087899548264e-3
64Mb/parser-1,1.9166781355619853,1.9017179741673738,1.9481124479918768,3.0275432308312075e-2,1.3063873604931511e-2,4.3369030698825146e-2
64Mb/parser-3,2.240965134249725,2.2202547208052743,2.298182830692046,4.642802673746363e-2,3.95073276435795e-3,6.452434960968018e-2
64Mb/parser-3-A,0.8109651246570757,0.8043253551688331,0.834847606839888,2.0151887137598905e-2,2.1594264126852704e-3,3.479394431124785e-2
64Mb/parser-4,1.5471585340659788,1.5337040917204354,1.555718626871805,1.6301336282584414e-2,8.108185127225784e-3,2.5919814021284897e-2
128Mb/validate,0.11316372098934638,0.11284870586188431,0.11400733809077469,1.407041704016301e-3,7.381239680151547e-4,2.8230121109881594e-3
128Mb/validateEx,0.2073016816973507,0.20632027408253004,0.21028616102940617,4.060318652508721e-3,1.8612979819845501e-3,8.167544649521971e-3
128Mb/parser-1,3.783642814731963,3.7754246130682683,3.791861016395657,1.0727851697187624e-2,7.274603280153487e-3,1.3946872553757735e-2
128Mb/parser-3,4.520583914311525,4.466856462619035,4.620433119004399,9.758649005296778e-2,1.5943748730933294e-3,0.11621644317777036
128Mb/parser-3-A,1.7877773466062763,1.72643173991613,1.8769472694847666,0.10410063548468176,5.46696931244351e-2,0.16221444990263956
128Mb/parser-4,3.0887725823686925,3.059379539749352,3.115646717258496,3.62884170000393e-2,2.0951501460209174e-2,5.483591842027197e-2
256Mb/validate,0.22442846524090776,0.22355856884001096,0.22661322349447566,3.0047797972744764e-3,6.400105144265412e-4,4.701183727855694e-3
256Mb/validateEx,0.4171808587849697,0.41268326534010913,0.4265354907046046,1.2649264356658639e-2,3.4101209784280877e-3,1.854753265331489e-2
256Mb/parser-1,7.596704841944302,7.573489766193234,7.61323946657285,2.269674121648357e-2,7.157841879234184e-3,3.059933361917111e-2
256Mb/parser-3,9.08239764416976,8.984701331999531,9.257923165678221,0.1729710948393713,1.383808526576047e-4,0.22548158766860257
256Mb/parser-3-A,3.6929184323901425,3.528486356682843,3.873507938745024,0.22589564320061625,0.16691023036646127,0.24993164991953212
256Mb/parser-4,6.241673809317945,6.11006520726005,6.362692247126688,0.1440399755508179,9.184238549642032e-2,0.17342965860439247
512Mb/validate,0.4915353908060075,0.4741831680355121,0.5106564934786545,3.538914548923143e-2,3.0249845200310026e-2,4.064647791998233e-2
512Mb/validateEx,0.8466181057842409,0.8327674683287941,0.8648078441713558,2.7133844329021568e-2,1.8747030849430565e-2,3.452412275914578e-2
512Mb/parser-1,15.240808891124592,15.167077681500814,15.30240305237688,8.400121167406985e-2,2.7606228997076876e-2,0.1147991615664912
512Mb/parser-3,18.14537141897563,17.924747334582207,18.545112433677787,0.38906608809054377,2.6502809204552114e-2,0.48300668885247333
512Mb/parser-3-A,7.432335907602464,6.899967404047857,7.838849739797297,0.5344263580572354,0.20872082429058975,0.6556902423020434
512Mb/parser-4,12.327831613915501,12.196363682496667,12.450201787498372,0.17059920236311257,6.943653874330317e-2,0.23417564363456678
1Gb/validate,0.9081891904936131,0.9001656536536328,0.9178996736449043,1.633313071739356e-2,1.0817843896534661e-2,2.2870740523694786e-2
1Gb/validateEx,1.6549164249921269,1.6325353681048864,1.6835662945935728,3.818829812488002e-2,2.8065017252905416e-2,4.989180321776095e-2
1Gb/parser-1,30.484084066435873,30.327598837375263,30.76695704174684,0.27558554222178017,1.604187929704276e-2,0.3453452771923341
1Gb/parser-3,36.05117257358628,35.65455988441924,36.836456488879776,0.7826728438715534,7.951790806437486e-4,0.9072268566262339
1Gb/parser-3-A,14.971539046293401,14.022791232380769,15.456726158290621,0.8972962913688963,4.9944054729348264e-2,1.1204916388757287
1Gb/parser-4,24.745744391351764,24.385884525247093,25.284901844370324,0.5570608484247465,0.16326398697941424,0.7464851839290493
