Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,MB
16Kb/parser-1,5.940346430643393e-4,5.931320216178209e-4,5.949379401288062e-4,4.741100303348205e-6,4.161428806281009e-6,1
16Kb/parser-3,5.877439240811918e-4,5.870317761668738e-4,5.89083627643319e-4,4.784491919249251e-6,3.355882996448805e-6,1
16Kb/parser-3-A,7.317407007274927e-5,7.306305666357844e-5,7.329338108013161e-5,5.596942396676309e-7,4.947966706726475e-7,1
16Kb/parser-3-A,7.312410519220675e-5,7.296450144420466e-5,7.340794071448307e-5,1.0260660052622192e-6,6.911111172516638e-7,1
16Kb/parser-4,5.224810809376793e-4,5.215375538252696e-4,5.251000456040615e-4,7.2611605971373965e-6,4.089072124729682e-6,1
16Kb/validate,1.3574786947119791e-5,1.3471590674329098e-5,1.3766280528861739e-5,6.97989649476983e-7,4.2961046011909137e-7,1
16Kb/validateEx,2.5538833034303686e-5,2.5406474388037594e-5,2.5706810568280876e-5,7.22475003744228e-7,6.004188851848229e-7,1
16Kb/validateEx,2.5744823009421836e-5,2.566063475060673e-5,2.5820062023087255e-5,3.852480171474997e-7,3.425197545223558e-7,1
7.6Mb/parser-1,0.24553786155845897,0.2388368794900575,0.2499781267408393,1.3194197918491553e-2,9.86654798662315e-3,1
7.6Mb/parser-3,0.2797855973535704,0.27470914633173094,0.2884905912786627,1.5255569459929591e-2,1.108164720884612e-2,1
7.6Mb/parser-3-A,0.1124634551608118,0.11127040610090573,0.11386595125043665,3.825076131171616e-3,2.9499231846218357e-3,1
7.6Mb/parser-3-A,0.10908086974371398,0.10809937374386362,0.11035770167884555,3.4218792839147277e-3,2.877316117335272e-3,1
7.6Mb/parser-4,0.18414760890245493,0.18346886499014523,0.18495650539747852,1.7795900768096267e-3,1.3646223256809685e-3,1
7.6Mb/validate,6.4734704559550596e-3,6.456067081885112e-3,6.4969648301997735e-3,9.443969579284052e-5,6.98260065942131e-5,1
7.6Mb/validateEx,1.280510540067968e-2,1.276846944314076e-2,1.288860381191531e-2,2.405773521787712e-4,1.2451574882680456e-4,1
7.6Mb/validateEx,1.263147843839973e-2,1.2598423245785658e-2,1.2695772914172966e-2,1.836438685678246e-4,1.1280013263737788e-4,1
16Kb/parser-1,5.561640711798522e-4,5.539435397787249e-4,5.581921170846052e-4,1.097258036791113e-5,9.674301936817151e-6,2
16Kb/parser-3,5.737480218486646e-4,5.726805697443468e-4,5.751537090935608e-4,5.7118950979932255e-6,4.4668784218000945e-6,2
16Kb/parser-3-A,6.193653402267822e-5,6.179230059114126e-5,6.20953950627537e-5,7.628577830803451e-7,6.702821832167224e-7,2
16Kb/parser-3-A,6.437933612071824e-5,6.42175362508318e-5,6.456602700214057e-5,8.855078197626312e-7,7.396266881646002e-7,2
16Kb/parser-4,5.006120190628739e-4,4.997847624005707e-4,5.016356311353282e-4,4.387722889866274e-6,3.3112193505817205e-6,2
16Kb/validate,1.2892767991512564e-5,1.2875922640131196e-5,1.2914672658693733e-5,9.331874208825678e-8,7.574466041922672e-8,2
16Kb/validateEx,2.4778316439875604e-5,2.4716948910485265e-5,2.4846077792158917e-5,3.251050214118135e-7,2.552774260054443e-7,2
16Kb/validateEx,2.4927247429858175e-5,2.4852975704041798e-5,2.4993372337421538e-5,3.5203953082233596e-7,3.226249237645677e-7,2
7.6Mb/parser-1,0.22313393303072024,0.22277150510635038,0.22370035990241324,1.0841432686091558e-3,6.960563439140089e-4,2
7.6Mb/parser-3,0.2748270855508696,0.270692954934638,0.2814721153223003,1.20320094276257e-2,7.554117599571811e-3,2
7.6Mb/parser-3-A,0.11225785368467962,0.11083052172057879,0.11331160409467658,3.5523925730367987e-3,2.7679032943267725e-3,2
7.6Mb/parser-3-A,0.10881150417394969,0.10777758211648683,0.11004539325179832,3.226805202166898e-3,2.6344063913851046e-3,2
7.6Mb/parser-4,0.18373315158292536,0.1830767799555222,0.1843309770771583,1.61291897388735e-3,1.264727436601664e-3,2
7.6Mb/validate,6.441414188382103e-3,6.4297196062570875e-3,6.4577104024667285e-3,6.327978752416748e-5,5.385444474799414e-5,2
7.6Mb/validateEx,1.259338743420483e-2,1.2575331957473517e-2,1.2619972172783147e-2,9.193434331467412e-5,6.178162032767475e-5,2
7.6Mb/validateEx,1.2614397381061127e-2,1.258021892471683e-2,1.2675708539029258e-2,1.9296096355476145e-4,1.1401973868162225e-4,2
16Kb/parser-1,5.522788657207197e-4,5.505408429006208e-4,5.562775701239901e-4,1.206299605463359e-5,7.772977287064804e-6,4
16Kb/parser-3,5.658126963102194e-4,5.643177873196726e-4,5.672102176006806e-4,7.5457128033584605e-6,7.1690754204243515e-6,4
16Kb/parser-3-A,6.170050129522947e-5,6.153195648606688e-5,6.185057503027768e-5,7.996346716923494e-7,7.331223330880053e-7,4
16Kb/parser-3-A,6.270122530185311e-5,6.256040284764258e-5,6.28671993933436e-5,7.857959661892532e-7,7.173625542420364e-7,4
16Kb/parser-4,4.8667335907320186e-4,4.856999163262e-4,4.877065616697005e-4,5.337442751395579e-6,4.914441552938575e-6,4
